 6 + 7 =     8 + 4 =
 2 + 0 =     7 + 9 =
10 - 10=     7 - 0 =
 8 - 2 =     4 + 6 =
 6 - 3 =     7 - 3 =
10 - 10=     9 + 6 =
 2 + 7 =     5 - 5 =
 6 + 6 =     7 - 7 =
 8 - 3 =     2 - 0 =
 5 + 1 =     8 + 10=
 9 - 3 =     8 - 8 =
 7 + 10=     7 - 0 =
 4 - 3 =    10 - 1 =
 9 + 8 =    10 - 1 =
 2 - 1 =    10 - 7 =
 3 + 1 =     9 - 8 =
 7 - 4 =     9 - 0 =
 6 - 0 =    10 + 9 =
 8 + 0 =     8 - 7 =
 5 - 1 =    10 - 3 =
 8 + 0 =     4 - 4 =
 5 - 3 =     7 - 2 =
 9 + 4 =     6 + 0 =
 9 + 4 =    10 - 7 =
 4 - 4 =     9 - 3 =
 7 - 5 =     9 + 10=
10 + 1 =     8 + 7 =
10 + 3 =     1 + 2 =
 6 - 5 =     9 - 6 =
 5 + 3 =     7 + 2 =
 5 + 7 =    10 - 0 =
 0 + 5 =     5 + 8 =
 3 + 8 =     9 + 9 =
 5 + 6 =    10 + 9 =
 3 + 9 =     0 - 0 =
 6 + 3 =    10 + 2 =
 8 - 4 =     4 - 3 =
10 + 1 =     3 - 3 =
 4 - 3 =     8 + 8 =
 1 - 0 =     8 - 7 =
10 - 10=     1 + 1 =
 6 + 4 =     5 + 2 =
 0 + 7 =     3 + 9 =
 9 + 9 =     8 - 8 =
 3 + 0 =     6 + 5 =
 4 - 4 =     8 + 10=
10 + 9 =     8 + 3 =
 2 + 8 =     8 + 7 =
 0 + 4 =     5 - 4 =
 7 - 5 =     3 - 1 =
 5 + 1 =     5 - 3 =
 2 + 9 =     1 + 5 =
 4 + 0 =     8 + 6 =
 5 + 2 =     4 + 9 =
 7 - 7 =    10 - 3 =
 5 - 3 =     1 - 0 =
 9 - 1 =     9 + 6 =
 9 + 3 =     1 + 4 =
10 - 4 =     8 + 5 =
 3 - 1 =     6 + 5 =
